month,revenue,cost_of_goods_sold,operating_expenses,interest_expense,tax_expense,total_assets,total_liabilities,current_assets,current_liabilities,cash_flow
2024-01,520000,310000,95000,15000,18000,1500000,880000,420000,310000,45000
2024-02,540000,320000,98000,15000,20000,1520000,890000,430000,315000,48000
2024-03,500000,305000,92000,15000,15000,1490000,900000,410000,320000,35000
2024-04,580000,340000,105000,15000,22000,1550000,910000,450000,330000,52000
2024-05,610000,355000,110000,15000,25000,1600000,920000,470000,340000,60000
2024-06,590000,345000,102000,15000,21000,1620000,940000,460000,350000,55000
2024-07,630000,360000,115000,16000,26000,1680000,960000,490000,365000,65000
2024-08,650000,375000,118000,16000,28000,1700000,980000,510000,380000,70000
2024-09,620000,350000,108000,16000,23000,1720000,1000000,500000,390000,58000
2024-10,670000,385000,120000,17000,30000,1780000,1020000,530000,400000,75000
2024-11,690000,395000,125000,17000,32000,1820000,1040000,550000,410000,82000
2024-12,720000,410000,130000,18000,35000,1900000,1080000,580000,430000,90000
